15-093-6100,1,Kipp,Hoyes,khoyes0@naver.com,6966033179,superstructure,model,93d784b5-65fc-426c-8344-2d23aede4158
20-463-5249,1,Eal,Rishman,erishman1@yelp.com,2032398032,Organic,fault-tolerant,a1e1600e-dced-4ae0-8ec1-9658712a85b5
24-230-1125,1,Susann,Arlow,sarlow2@comsenz.com,5852192770,emulation,scalable,93d784b5-65fc-426c-8344-2d23aede4158
64-400-7863,1,Eilis,Maccari,emaccari3@youku.com,2862544605,project,data-warehouse,64726250-5da3-433f-ba34-f418d6937db6
19-349-8920,1,Alvy,Kunkler,akunkler4@squarespace.com,5081979285,methodology,Streamlined,64726250-5da3-433f-ba34-f418d6937db6
07-431-1954,1,Timmie,Gumly,tgumly5@irs.gov,3376555879,knowledge base,product,64726250-5da3-433f-ba34-f418d6937db6
35-379-9949,1,Piggy,Fruchter,pfruchter6@dailymail.co.uk,1177805440,demand-driven,Fully-configurable,64726250-5da3-433f-ba34-f418d6937db6
17-321-0509,1,Nikolai,Martschke,nmartschke7@amazon.com,1217181018,infrastructure,challenge,93d784b5-65fc-426c-8344-2d23aede4158
38-609-2750,1,Andriette,Petrushanko,apetrushanko8@springer.com,3526914753,optimal,local area network,64726250-5da3-433f-ba34-f418d6937db6
78-608-4805,1,Dona,Laver,dlaver9@utexas.edu,8725023356,mobile,alliance,93d784b5-65fc-426c-8344-2d23aede4158
77-329-3412,1,Morten,Aylward,maylwarda@timesonline.co.uk,8646527297,mobile,incremental,93d784b5-65fc-426c-8344-2d23aede4158
25-397-1176,1,Padraic,Pelzer,ppelzerb@acquirethisname.com,5051420050,Monitored,internet solution,a1e1600e-dced-4ae0-8ec1-9658712a85b5
77-981-5453,1,Traci,Whybray,twhybrayc@arizona.edu,2022583281,attitude-oriented,dynamic,64726250-5da3-433f-ba34-f418d6937db6
62-714-9629,1,Malinde,Huffy,mhuffyd@google.co.jp,4381925615,methodology,systemic,93d784b5-65fc-426c-8344-2d23aede4158
12-993-0686,1,Ranee,Dibnah,rdibnahe@archive.org,9234800830,project,even-keeled,64726250-5da3-433f-ba34-f418d6937db6
35-322-8329,1,Emelina,Swinbourne,eswinbournef@infoseek.co.jp,9004670191,Configurable,Compatible,df8b4350-e92b-457f-ae03-2ddc2f12b5d7
44-719-4566,1,Edythe,Avery,eaveryg@google.ru,4814892542,matrices,secured line,a1e1600e-dced-4ae0-8ec1-9658712a85b5
44-724-8304,1,Bruno,Pentecost,bpentecosth@ameblo.jp,8859619258,dynamic,Optimized,93d784b5-65fc-426c-8344-2d23aede4158
36-730-3699,1,Lek,Broadway,lbroadwayi@blinklist.com,7525807661,composite,Enterprise-wide,93d784b5-65fc-426c-8344-2d23aede4158
20-301-5710,1,Lisbeth,Braxton,lbraxtonj@jigsy.com,2487734874,intermediate,web-enabled,df8b4350-e92b-457f-ae03-2ddc2f12b5d7
93-752-1247,1,Guntar,Doutch,gdoutchk@hp.com,1818083991,maximized,Front-line,df8b4350-e92b-457f-ae03-2ddc2f12b5d7
94-818-3501,1,Nonnah,Halle,nhallel@house.gov,7395799802,concept,Optimized,a1e1600e-dced-4ae0-8ec1-9658712a85b5
03-212-8890,1,Aldis,Mucklestone,amucklestonem@is.gd,5999088900,content-based,discrete,a1e1600e-dced-4ae0-8ec1-9658712a85b5
34-495-4209,1,Valentia,Paule,vpaulen@guardian.co.uk,2281544201,data-warehouse,Enhanced,93d784b5-65fc-426c-8344-2d23aede4158
90-051-3755,1,Natal,Guiet,nguieto@uiuc.edu,6223909270,monitoring,productivity,df8b4350-e92b-457f-ae03-2ddc2f12b5d7
65-721-7496,1,Rena,Hattoe,rhattoep@smh.com.au,5676973215,multimedia,Streamlined,a1e1600e-dced-4ae0-8ec1-9658712a85b5
68-867-8059,1,Addi,Tremontana,atremontanaq@amazon.com,1246423667,Monitored,system engine,df8b4350-e92b-457f-ae03-2ddc2f12b5d7
61-385-9669,1,Sindee,Gaskins,sgaskinsr@gov.uk,6414999710,Sharable,Ergonomic,a1e1600e-dced-4ae0-8ec1-9658712a85b5
39-183-7937,1,Gwennie,Salerg,gsalergs@last.fm,7049560110,systematic,archive,93d784b5-65fc-426c-8344-2d23aede4158
15-345-0430,1,Waiter,Daw,wdawt@is.gd,6438908430,impactful,parallelism,df8b4350-e92b-457f-ae03-2ddc2f12b5d7
90-474-6538,1,Valma,Sinnett,vsinnettu@yahoo.com,2806679944,protocol,Synchronised,93d784b5-65fc-426c-8344-2d23aede4158
30-324-0634,1,Jo,Stanmer,jstanmerv@go.com,5892857514,Compatible,open architecture,a1e1600e-dced-4ae0-8ec1-9658712a85b5
68-836-8058,1,Garvey,Nan Carrow,gnancarroww@indiatimes.com,7009866431,Cross-platform,system engine,df8b4350-e92b-457f-ae03-2ddc2f12b5d7
91-981-2524,1,Caddric,Killich,ckillichx@wordpress.com,3001696709,array,Reduced,93d784b5-65fc-426c-8344-2d23aede4158
49-868-2538,1,Kenton,Annets,kannetsy@oaic.gov.au,4527823113,Team-oriented,function,93d784b5-65fc-426c-8344-2d23aede4158
16-387-1805,1,Lena,Druce,ldrucez@icio.us,5729276761,Upgradable,Visionary,64726250-5da3-433f-ba34-f418d6937db6
78-487-1511,1,Donnamarie,Abbyss,dabbyss10@oracle.com,1749625228,logistical,Diverse,64726250-5da3-433f-ba34-f418d6937db6
34-383-1625,1,Annmarie,Godspeede,agodspeede11@slideshare.net,7566803463,exuding,Focused,a1e1600e-dced-4ae0-8ec1-9658712a85b5
